2.022011200000000000e+07,2.100000000000000000e+03,9.800000000000000711e+00,8.500000000000000000e+00
2.022011200000000000e+07,2.200000000000000000e+03,9.900000000000000355e+00,9.000000000000000000e+00
2.022011200000000000e+07,2.300000000000000000e+03,9.099999999999999645e+00,8.400000000000000355e+00
2.022011300000000000e+07,0.000000000000000000e+00,8.500000000000000000e+00,7.500000000000000000e+00
2.022011300000000000e+07,1.000000000000000000e+02,7.700000000000000178e+00,7.299999999999999822e+00
2.022011300000000000e+07,2.000000000000000000e+02,7.299999999999999822e+00,7.000000000000000000e+00
2.022011300000000000e+07,3.000000000000000000e+02,7.200000000000000178e+00,6.799999999999999822e+00
2.022011300000000000e+07,4.000000000000000000e+02,6.799999999999999822e+00,5.799999999999999822e+00
2.022011300000000000e+07,5.000000000000000000e+02,6.000000000000000000e+00,3.500000000000000000e+00
2.022011300000000000e+07,6.000000000000000000e+02,4.700000000000000178e+00,3.600000000000000089e+00
2.022011300000000000e+07,7.000000000000000000e+02,4.900000000000000355e+00,4.299999999999999822e+00
2.022011300000000000e+07,8.000000000000000000e+02,4.900000000000000355e+00,4.200000000000000178e+00
2.022011300000000000e+07,9.000000000000000000e+02,4.599999999999999645e+00,2.899999999999999911e+00
2.022011300000000000e+07,1.000000000000000000e+03,3.600000000000000089e+00,1.300000000000000044e+00
2.022011300000000000e+07,1.100000000000000000e+03,3.100000000000000089e+00,2.100000000000000089e+00
2.022011300000000000e+07,1.200000000000000000e+03,3.100000000000000089e+00,2.200000000000000178e+00
2.022011300000000000e+07,1.300000000000000000e+03,2.899999999999999911e+00,2.100000000000000089e+00
2.022011300000000000e+07,1.400000000000000000e+03,2.299999999999999822e+00,1.899999999999999911e+00
2.022011300000000000e+07,1.500000000000000000e+03,2.899999999999999911e+00,2.200000000000000178e+00
2.022011300000000000e+07,1.600000000000000000e+03,3.899999999999999911e+00,2.899999999999999911e+00
2.022011300000000000e+07,1.700000000000000000e+03,5.599999999999999645e+00,3.799999999999999822e+00
2.022011300000000000e+07,1.800000000000000000e+03,6.799999999999999822e+00,5.299999999999999822e+00
2.022011300000000000e+07,1.900000000000000000e+03,6.799999999999999822e+00,5.799999999999999822e+00
2.022011300000000000e+07,2.000000000000000000e+03,7.599999999999999645e+00,6.599999999999999645e+00
2.022011300000000000e+07,2.100000000000000000e+03,7.799999999999999822e+00,7.200000000000000178e+00
2.022011300000000000e+07,2.200000000000000000e+03,7.599999999999999645e+00,7.000000000000000000e+00
2.022011300000000000e+07,2.300000000000000000e+03,7.099999999999999645e+00,5.099999999999999645e+00
2.022011400000000000e+07,0.000000000000000000e+00,5.200000000000000178e+00,4.400000000000000355e+00
2.022011400000000000e+07,1.000000000000000000e+02,4.500000000000000000e+00,3.500000000000000000e+00
2.022011400000000000e+07,2.000000000000000000e+02,3.700000000000000178e+00,2.799999999999999822e+00
2.022011400000000000e+07,3.000000000000000000e+02,2.899999999999999911e+00,2.299999999999999822e+00
2.022011400000000000e+07,4.000000000000000000e+02,2.600000000000000089e+00,1.699999999999999956e+00
2.022011400000000000e+07,5.000000000000000000e+02,1.800000000000000044e+00,1.100000000000000089e+00
2.022011400000000000e+07,6.000000000000000000e+02,1.100000000000000089e+00,5.000000000000000000e-01
2.022011400000000000e+07,7.000000000000000000e+02,5.000000000000000000e-01,-2.999999999999999889e-01
2.022011400000000000e+07,8.000000000000000000e+02,-2.000000000000000111e-01,-8.000000000000000444e-01
2.022011400000000000e+07,9.000000000000000000e+02,-5.999999999999999778e-01,-1.199999999999999956e+00
2.022011400000000000e+07,1.000000000000000000e+03,-9.000000000000000222e-01,-1.100000000000000089e+00
2.022011400000000000e+07,1.100000000000000000e+03,-6.999999999999999556e-01,-1.000000000000000000e+00
2.022011400000000000e+07,1.200000000000000000e+03,-5.999999999999999778e-01,-6.999999999999999556e-01
2.022011400000000000e+07,1.300000000000000000e+03,-6.999999999999999556e-01,-8.000000000000000444e-01
2.022011400000000000e+07,1.400000000000000000e+03,-6.999999999999999556e-01,-8.000000000000000444e-01
2.022011400000000000e+07,1.500000000000000000e+03,-5.999999999999999778e-01,-8.000000000000000444e-01
2.022011400000000000e+07,1.600000000000000000e+03,-5.000000000000000000e-01,-6.999999999999999556e-01
2.022011400000000000e+07,1.700000000000000000e+03,-2.000000000000000111e-01,-5.999999999999999778e-01
2.022011400000000000e+07,1.800000000000000000e+03,5.000000000000000000e-01,-2.999999999999999889e-01
2.022011400000000000e+07,1.900000000000000000e+03,1.100000000000000089e+00,5.999999999999999778e-01
2.022011400000000000e+07,2.000000000000000000e+03,1.800000000000000044e+00,1.000000000000000000e+00
2.022011400000000000e+07,2.100000000000000000e+03,2.399999999999999911e+00,1.699999999999999956e+00
2.022011400000000000e+07,2.200000000000000000e+03,2.500000000000000000e+00,1.899999999999999911e+00
2.022011400000000000e+07,2.300000000000000000e+03,1.899999999999999911e+00,1.199999999999999956e+00
2.022011500000000000e+07,0.000000000000000000e+00,1.199999999999999956e+00,6.999999999999999556e-01
2.022011500000000000e+07,1.000000000000000000e+02,9.000000000000000222e-01,6.999999999999999556e-01
2.022011500000000000e+07,2.000000000000000000e+02,9.000000000000000222e-01,8.000000000000000444e-01
2.022011500000000000e+07,3.000000000000000000e+02,9.000000000000000222e-01,4.000000000000000222e-01
2.022011500000000000e+07,4.000000000000000000e+02,5.999999999999999778e-01,5.000000000000000000e-01
2.022011500000000000e+07,5.000000000000000000e+02,5.000000000000000000e-01,4.000000000000000222e-01
2.022011500000000000e+07,6.000000000000000000e+02,5.000000000000000000e-01,4.000000000000000222e-01
2.022011500000000000e+07,7.000000000000000000e+02,4.000000000000000222e-01,2.999999999999999889e-01
2.022011500000000000e+07,8.000000000000000000e+02,4.000000000000000222e-01,2.999999999999999889e-01
2.022011500000000000e+07,9.000000000000000000e+02,2.999999999999999889e-01,2.000000000000000111e-01
2.022011500000000000e+07,1.000000000000000000e+03,4.000000000000000222e-01,2.000000000000000111e-01
2.022011500000000000e+07,1.100000000000000000e+03,2.000000000000000111e-01,-5.000000000000000000e-01
2.022011500000000000e+07,1.200000000000000000e+03,-5.000000000000000000e-01,-1.300000000000000044e+00
2.022011500000000000e+07,1.300000000000000000e+03,-1.300000000000000044e+00,-2.000000000000000000e+00
2.022011500000000000e+07,1.400000000000000000e+03,-2.000000000000000000e+00,-3.100000000000000089e+00
2.022011500000000000e+07,1.500000000000000000e+03,-3.000000000000000000e+00,-3.299999999999999822e+00
2.022011500000000000e+07,1.600000000000000000e+03,-2.299999999999999822e+00,-3.299999999999999822e+00
2.022011500000000000e+07,1.700000000000000000e+03,-8.000000000000000444e-01,-2.399999999999999911e+00
2.022011500000000000e+07,1.800000000000000000e+03,-9.000000000000000222e-01,-1.399999999999999911e+00
2.022011500000000000e+07,1.900000000000000000e+03,-1.000000000000000056e-01,-1.100000000000000089e+00
2.022011500000000000e+07,2.000000000000000000e+03,5.000000000000000000e-01,-2.999999999999999889e-01
2.022011500000000000e+07,2.100000000000000000e+03,1.000000000000000056e-01,-6.999999999999999556e-01
2.022011500000000000e+07,2.200000000000000000e+03,-2.999999999999999889e-01,-1.000000000000000000e+00
2.022011500000000000e+07,2.300000000000000000e+03,-1.000000000000000000e+00,-1.899999999999999911e+00
2.022011600000000000e+07,0.000000000000000000e+00,-1.899999999999999911e+00,-2.399999999999999911e+00
2.022011600000000000e+07,1.000000000000000000e+02,-2.299999999999999822e+00,-2.700000000000000178e+00
2.022011600000000000e+07,2.000000000000000000e+02,-2.700000000000000178e+00,-3.299999999999999822e+00
2.022011600000000000e+07,3.000000000000000000e+02,-3.299999999999999822e+00,-4.000000000000000000e+00
2.022011600000000000e+07,4.000000000000000000e+02,-4.000000000000000000e+00,-4.599999999999999645e+00
2.022011600000000000e+07,5.000000000000000000e+02,-4.599999999999999645e+00,-5.099999999999999645e+00
2.022011600000000000e+07,6.000000000000000000e+02,-5.099999999999999645e+00,-5.500000000000000000e+00
2.022011600000000000e+07,7.000000000000000000e+02,-5.500000000000000000e+00,-5.900000000000000355e+00
2.022011600000000000e+07,8.000000000000000000e+02,-5.900000000000000355e+00,-6.200000000000000178e+00
2.022011600000000000e+07,9.000000000000000000e+02,-6.200000000000000178e+00,-6.400000000000000355e+00
2.022011600000000000e+07,1.000000000000000000e+03,-6.400000000000000355e+00,-6.700000000000000178e+00
2.022011600000000000e+07,1.100000000000000000e+03,-6.700000000000000178e+00,-6.900000000000000355e+00
2.022011600000000000e+07,1.200000000000000000e+03,-6.799999999999999822e+00,-7.000000000000000000e+00
2.022011600000000000e+07,1.300000000000000000e+03,-7.000000000000000000e+00,-7.299999999999999822e+00
2.022011600000000000e+07,1.400000000000000000e+03,-7.200000000000000178e+00,-7.400000000000000355e+00
2.022011600000000000e+07,1.500000000000000000e+03,-5.299999999999999822e+00,-7.200000000000000178e+00
2.022011600000000000e+07,1.600000000000000000e+03,-3.500000000000000000e+00,-5.299999999999999822e+00
2.022011600000000000e+07,1.700000000000000000e+03,-1.300000000000000044e+00,-3.500000000000000000e+00
2.022011600000000000e+07,1.800000000000000000e+03,1.000000000000000000e+00,-1.300000000000000044e+00
2.022011600000000000e+07,1.900000000000000000e+03,2.600000000000000089e+00,9.000000000000000222e-01
2.022011600000000000e+07,2.000000000000000000e+03,3.399999999999999911e+00,2.500000000000000000e+00
2.022011600000000000e+07,2.100000000000000000e+03,3.500000000000000000e+00,3.100000000000000089e+00
2.022011600000000000e+07,2.200000000000000000e+03,3.399999999999999911e+00,2.500000000000000000e+00
2.022011600000000000e+07,2.300000000000000000e+03,2.500000000000000000e+00,1.000000000000000000e+00
2.022011700000000000e+07,0.000000000000000000e+00,1.000000000000000000e+00,-5.000000000000000000e-01
2.022011700000000000e+07,1.000000000000000000e+02,-4.000000000000000222e-01,-1.399999999999999911e+00
2.022011700000000000e+07,2.000000000000000000e+02,-1.199999999999999956e+00,-1.699999999999999956e+00
2.022011700000000000e+07,3.000000000000000000e+02,-1.300000000000000044e+00,-1.699999999999999956e+00
2.022011700000000000e+07,4.000000000000000000e+02,-1.600000000000000089e+00,-2.200000000000000178e+00
2.022011700000000000e+07,5.000000000000000000e+02,-2.100000000000000089e+00,-2.299999999999999822e+00
2.022011700000000000e+07,6.000000000000000000e+02,-2.299999999999999822e+00,-2.700000000000000178e+00
2.022011700000000000e+07,7.000000000000000000e+02,-2.700000000000000178e+00,-3.700000000000000178e+00
2.022011700000000000e+07,8.000000000000000000e+02,-3.700000000000000178e+00,-3.899999999999999911e+00
2.022011700000000000e+07,9.000000000000000000e+02,-3.899999999999999911e+00,-4.000000000000000000e+00
2.022011700000000000e+07,1.000000000000000000e+03,-3.899999999999999911e+00,-4.200000000000000178e+00
2.022011700000000000e+07,1.100000000000000000e+03,-4.000000000000000000e+00,-4.099999999999999645e+00
2.022011700000000000e+07,1.200000000000000000e+03,-4.000000000000000000e+00,-4.099999999999999645e+00
2.022011700000000000e+07,1.300000000000000000e+03,-4.099999999999999645e+00,-4.500000000000000000e+00
2.022011700000000000e+07,1.400000000000000000e+03,-4.400000000000000355e+00,-4.500000000000000000e+00
2.022011700000000000e+07,1.500000000000000000e+03,-4.099999999999999645e+00,-4.400000000000000355e+00
2.022011700000000000e+07,1.600000000000000000e+03,-3.799999999999999822e+00,-4.099999999999999645e+00
2.022011700000000000e+07,1.700000000000000000e+03,-3.600000000000000089e+00,-4.000000000000000000e+00
2.022011700000000000e+07,1.800000000000000000e+03,-3.100000000000000089e+00,-3.600000000000000089e+00
2.022011700000000000e+07,1.900000000000000000e+03,-2.899999999999999911e+00,-3.200000000000000178e+00
2.022011700000000000e+07,2.000000000000000000e+03,-2.700000000000000178e+00,-3.100000000000000089e+00
2.022011700000000000e+07,2.100000000000000000e+03,-2.299999999999999822e+00,-2.700000000000000178e+00
2.022011700000000000e+07,2.200000000000000000e+03,-2.200000000000000178e+00,-2.399999999999999911e+00
2.022011700000000000e+07,2.300000000000000000e+03,-2.200000000000000178e+00,-2.299999999999999822e+00
2.022011800000000000e+07,0.000000000000000000e+00,-2.100000000000000089e+00,-2.299999999999999822e+00
2.022011800000000000e+07,1.000000000000000000e+02,-2.299999999999999822e+00,-2.600000000000000089e+00
2.022011800000000000e+07,2.000000000000000000e+02,-2.500000000000000000e+00,-2.700000000000000178e+00
2.022011800000000000e+07,3.000000000000000000e+02,-2.600000000000000089e+00,-2.700000000000000178e+00
2.022011800000000000e+07,4.000000000000000000e+02,-2.500000000000000000e+00,-2.700000000000000178e+00
2.022011800000000000e+07,5.000000000000000000e+02,-2.399999999999999911e+00,-2.600000000000000089e+00
2.022011800000000000e+07,6.000000000000000000e+02,-2.399999999999999911e+00,-2.600000000000000089e+00
2.022011800000000000e+07,7.000000000000000000e+02,-2.399999999999999911e+00,-2.899999999999999911e+00
2.022011800000000000e+07,8.000000000000000000e+02,-2.899999999999999911e+00,-3.600000000000000089e+00
2.022011800000000000e+07,9.000000000000000000e+02,-3.500000000000000000e+00,-4.099999999999999645e+00
2.022011800000000000e+07,1.000000000000000000e+03,-4.000000000000000000e+00,-4.799999999999999822e+00
2.022011800000000000e+07,1.100000000000000000e+03,-4.799999999999999822e+00,-5.099999999999999645e+00
2.022011800000000000e+07,1.200000000000000000e+03,-5.000000000000000000e+00,-5.799999999999999822e+00
2.022011800000000000e+07,1.300000000000000000e+03,-4.900000000000000355e+00,-5.400000000000000355e+00
2.022011800000000000e+07,1.400000000000000000e+03,-4.200000000000000178e+00,-4.900000000000000355e+00
2.022011800000000000e+07,1.500000000000000000e+03,-3.100000000000000089e+00,-4.400000000000000355e+00
2.022011800000000000e+07,1.600000000000000000e+03,1.000000000000000056e-01,-3.100000000000000089e+00
2.022011800000000000e+07,1.700000000000000000e+03,2.899999999999999911e+00,1.000000000000000056e-01
2.022011800000000000e+07,1.800000000000000000e+03,4.599999999999999645e+00,2.799999999999999822e+00
2.022011800000000000e+07,1.900000000000000000e+03,6.200000000000000178e+00,4.500000000000000000e+00
2.022011800000000000e+07,2.000000000000000000e+03,6.799999999999999822e+00,5.799999999999999822e+00
2.022011800000000000e+07,2.100000000000000000e+03,7.599999999999999645e+00,6.599999999999999645e+00
2.022011800000000000e+07,2.200000000000000000e+03,7.500000000000000000e+00,6.099999999999999645e+00
2.022011800000000000e+07,2.300000000000000000e+03,6.200000000000000178e+00,5.099999999999999645e+00
2.022011900000000000e+07,0.000000000000000000e+00,5.299999999999999822e+00,4.000000000000000000e+00
2.022011900000000000e+07,1.000000000000000000e+02,4.500000000000000000e+00,3.899999999999999911e+00
2.022011900000000000e+07,2.000000000000000000e+02,5.400000000000000355e+00,4.500000000000000000e+00
2.022011900000000000e+07,3.000000000000000000e+02,5.700000000000000178e+00,5.400000000000000355e+00
2.022011900000000000e+07,4.000000000000000000e+02,6.099999999999999645e+00,5.400000000000000355e+00
2.022011900000000000e+07,5.000000000000000000e+02,6.400000000000000355e+00,6.099999999999999645e+00
2.022011900000000000e+07,6.000000000000000000e+02,6.900000000000000355e+00,6.400000000000000355e+00
2.022011900000000000e+07,7.000000000000000000e+02,6.500000000000000000e+00,5.900000000000000355e+00
2.022011900000000000e+07,8.000000000000000000e+02,6.099999999999999645e+00,5.900000000000000355e+00
2.022011900000000000e+07,9.000000000000000000e+02,6.299999999999999822e+00,6.099999999999999645e+00
2.022011900000000000e+07,1.000000000000000000e+03,6.500000000000000000e+00,6.200000000000000178e+00
2.022011900000000000e+07,1.100000000000000000e+03,6.400000000000000355e+00,5.900000000000000355e+00
2.022011900000000000e+07,1.200000000000000000e+03,6.099999999999999645e+00,5.700000000000000178e+00
2.022011900000000000e+07,1.300000000000000000e+03,5.900000000000000355e+00,5.599999999999999645e+00
2.022011900000000000e+07,1.400000000000000000e+03,6.400000000000000355e+00,5.799999999999999822e+00
